A list of Notes, their frequencies (by basing on A4 = 440 Hz) and conversion into milliseconds.

Note: C 1, Frequency: 32.703 Hz, Time: 30.5780515 ms
Note: C#1, Frequency: 34.648 Hz, Time: 28.8618373 ms
Note: D 1, Frequency: 36.708 Hz, Time: 27.2419469 ms
Note: D#1, Frequency: 38.891 Hz, Time: 25.7129739 ms
Note: E 1, Frequency: 41.203 Hz, Time: 24.2698155 ms
Note: F 1, Frequency: 43.654 Hz, Time: 22.9076555 ms
Note: F#1, Frequency: 46.249 Hz, Time: 21.6219475 ms
Note: G 1, Frequency: 48.999 Hz, Time: 20.4084009 ms
Note: G#1, Frequency: 51.913 Hz, Time: 19.2629654 ms
Note: A 1, Frequency: 55.000 Hz, Time: 18.1818182 ms
Note: A#1, Frequency: 58.270 Hz, Time: 17.1613511 ms
Note: B 1, Frequency: 61.735 Hz, Time: 16.1981585 ms
Note: C 2, Frequency: 65.406 Hz, Time: 15.2890257 ms
Note: C#2, Frequency: 69.296 Hz, Time: 14.4309187 ms
Note: D 2, Frequency: 73.416 Hz, Time: 13.6209734 ms
Note: D#2, Frequency: 77.782 Hz, Time: 12.8564869 ms
Note: E 2, Frequency: 82.407 Hz, Time: 12.1349078 ms
Note: F 2, Frequency: 87.307 Hz, Time: 11.4538277 ms
Note: F#2, Frequency: 92.499 Hz, Time: 10.8109738 ms
Note: G 2, Frequency: 97.999 Hz, Time: 10.2042004 ms
Note: G#2, Frequency: 103.826 Hz, Time: 9.6314827 ms
Note: A 2, Frequency: 110.000 Hz, Time: 9.0909091 ms
Note: A#2, Frequency: 116.541 Hz, Time: 8.5806756 ms
Note: B 2, Frequency: 123.471 Hz, Time: 8.0990793 ms
Note: C 3, Frequency: 130.813 Hz, Time: 7.6445129 ms
Note: C#3, Frequency: 138.591 Hz, Time: 7.2154593 ms
Note: D 3, Frequency: 146.832 Hz, Time: 6.8104867 ms
Note: D#3, Frequency: 155.563 Hz, Time: 6.4282435 ms
Note: E 3, Frequency: 164.814 Hz, Time: 6.0674539 ms
Note: F 3, Frequency: 174.614 Hz, Time: 5.7269139 ms
Note: F#3, Frequency: 184.997 Hz, Time: 5.4054869 ms
Note: G 3, Frequency: 195.998 Hz, Time: 5.1021002 ms
Note: G#3, Frequency: 207.652 Hz, Time: 4.8157413 ms
Note: A 3, Frequency: 220.000 Hz, Time: 4.5454545 ms
Note: A#3, Frequency: 233.082 Hz, Time: 4.2903378 ms
Note: B 3, Frequency: 246.942 Hz, Time: 4.0495396 ms
Note: C 4, Frequency: 261.626 Hz, Time: 3.8222564 ms
Note: C#4, Frequency: 277.183 Hz, Time: 3.6077297 ms
Note: D 4, Frequency: 293.665 Hz, Time: 3.4052434 ms
